stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
176181,2422,Daytona at Kenora,,42.278098,-83.05102,1,,0,,1
176182,2424,Daytona at Northwood,,42.275963,-83.049655,1,,0,,1
176183,2425,Northwood at Cleary,,42.274461,-83.046237,1,,0,,1
176184,2426,Northwood at St. Clair,,42.272813,-83.043545,1,,0,,1
176185,2727,Northwood at St. Patrick's,,42.273797,-83.040751,1,,0,,1
176186,2428,Northwood at Rankin,,42.274459,-83.038888,1,,0,,1
176187,2429,Northwood at Roxborough,,42.27519,-83.036824,1,,0,,1
176188,2430,Northwood at Everts,,42.276168,-83.034078,1,,0,,1
176189,2431,Northwood at Dominion,,42.276874,-83.031942,1,,0,,1
176190,2433,Labelle at McKay,,42.27065,-83.029173,1,,0,,1
176191,2434,Labelle at Everts,,42.270025,-83.030936,1,,0,,1
176192,2435,Labelle at Partington,,42.268957,-83.03395,1,,0,,1
176193,2436,Labelle at Randolph,,42.267969,-83.036752,1,,0,,1
176194,2437,Labelle at Askin,,42.267304,-83.038636,1,,0,,1
176195,2438,Labelle at Northway,,42.266404,-83.041222,1,,0,,1
176196,2439,Labelle at Youngstown,,42.266789,-83.043159,1,,0,,1
176197,2440,Pulford at Northway,,42.257857,-83.037189,1,,0,,1
176198,2441,California at Norfolk,,42.260873,-83.035036,1,,0,,1
176199,2442,California at Grand Marais,,42.263582,-83.036766,1,,0,,1
176201,2444,Rankin at Grand Marais,,42.264549,-83.032968,1,,0,,1
176202,2445,Rankin at Norfolk,,42.261692,-83.031083,1,,0,,1
176203,2446,Rankin at Liberty,,42.258753,-83.029197,1,,0,,1
176204,2447,Beals at Rankin,,42.256972,-83.027093,1,,0,,1
176205,2448,Beals at Glenwood,,42.25777,-83.024666,1,,0,,1
176206,2449,Glenwood at St. Gabriel,,42.255846,-83.023309,1,,0,,1
176207,2450,Glenwood at Cabana,,42.254148,-83.022279,1,,0,,1
176230,GLCA,GLENWOOD and CABANA,,42.254148,-83.022279,1,,0,,1
1271,1635,Clemenceau at Haig,,42.3017975,-82.94939749,1,,0,,1
1393,1206,College Ave. at Community Centre,,42.29614848,-83.07095888,1,,0,,1
1512,1051,Devonshire Mall at Cineplex,,42.27368,-82.999918,1,,0,,1
1613,1734,St. Clair College Front Entrance,,42.246094,-83.017841,4,,0,,1
1824,1868,Cabana at Longfellow,,42.254766,-83.016378,1,,0,,1
2031,1208,College at Prince,,42.290018,-83.075127,1,,0,,1
2130,1207,College at South,,42.29331506,-83.07309886,1,,0,,1
2338,2000,Lauzon at Forest Glade,,42.29987062,-82.92299308,1,,0,,1
2339,2001,Forest Glade at Meadowbrook,,42.29889285,-82.92503035,1,,0,,1
2340,2002,Anchor at Twin Oaks,,42.29292749,-82.91842667,1,,0,,1
2341,2003,Anchor at Green Shield,,42.295011,-82.917206,1,,0,,1
2342,2004,Anchor at CS Wind,,42.295839,-82.91265,1,,0,,1
2344,2006,Anchor at Jamison Entrance,,42.296508,-82.909003,1,,0,,1
