service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1130,0,0,0,0,0,0,1,20240929,20250116
1137,0,0,0,1,0,0,0,20240929,20250116
1133,0,0,0,0,1,0,0,20240929,20250116
1134,1,0,0,0,0,0,0,20240929,20250116
1132,0,0,0,0,0,0,0,20240929,20250116
1135,0,1,0,0,0,0,0,20240929,20250116
1136,0,0,1,0,0,0,0,20240929,20250116
1131,0,0,0,0,0,1,0,20240929,20250116
